date_of_bite,year,month,day_of_month,number_of_bites,precipitation,temperature_max,temperature_min,foggy_or_not,temperature_avg
2015-03-08,2015,3,8,5,0.0,49,37,0,43.0
2015-03-09,2015,3,9,10,0.01,54,40,0,47.0
2015-03-10,2015,3,10,2,0.46,53,39,1,46.0
2015-03-11,2015,3,11,6,0.01,59,44,1,51.5
2015-03-12,2015,3,12,7,0.0,47,36,0,41.5
2015-03-13,2015,3,13,8,0.0,43,31,0,37.0
2015-03-14,2015,3,14,10,0.81,51,40,1,45.5
2015-03-15,2015,3,15,8,0.0,44,36,0,40.0
2015-03-16,2015,3,16,11,0.0,52,35,0,43.5
2015-03-17,2015,3,17,8,0.02,57,34,0,45.5
2015-03-18,2015,3,18,8,0.0,39,29,0,34.0
2015-03-19,2015,3,19,5,0.0,43,29,0,36.0
2015-03-20,2015,3,20,3,0.4,38,29,1,33.5
2015-03-21,2015,3,21,8,0.0,47,29,1,38.0
2015-03-22,2015,3,22,10,0.0,43,28,0,35.5
2015-03-23,2015,3,23,8,0.0,38,23,0,30.5
2015-03-24,2015,3,24,5,0.0,45,26,0,35.5
2015-03-25,2015,3,25,11,0.05,49,34,1,41.5
2015-03-26,2015,3,26,10,0.32,62,42,1,52.0
2015-03-27,2015,3,27,5,0.27,46,39,1,42.5
2015-03-28,2015,3,28,3,0.0,40,26,0,33.0
2015-03-29,2015,3,29,6,0.0,46,25,0,35.5
2015-03-30,2015,3,30,3,0.0,54,36,0,45.0
2015-03-31,2015,3,31,9,0.17,47,35,1,41.0
2015-04-01,2015,4,1,10,0.0,51,32,0,41.5
2015-04-02,2015,4,2,13,0.0,67,41,0,54.0
2015-04-03,2015,4,3,4,0.04,64,59,1,61.5
2015-04-04,2015,4,4,8,0.01,60,42,1,51.0
2015-04-05,2015,4,5,10,0.0,61,42,0,51.5
2015-04-06,2015,4,6,12,0.0,63,42,0,52.5
2015-04-07,2015,4,7,5,0.15,62,42,1,52.0
2015-04-08,2015,4,8,8,0.0,45,37,1,41.0
2015-04-09,2015,4,9,5,0.0,43,37,1,40.0
2015-04-10,2015,4,10,16,0.17,56,39,1,47.5
2015-04-11,2015,4,11,6,0.0,57,44,0,50.5
2015-04-12,2015,4,12,19,0.0,66,43,0,54.5
2015-04-13,2015,4,13,9,0.0,68,50,0,59.0
2015-04-14,2015,4,14,9,0.01,65,55,0,60.0
2015-04-15,2015,4,15,9,0.0,72,51,0,61.5
2015-04-16,2015,4,16,6,0.0,64,52,0,58.0
2015-04-17,2015,4,17,9,0.08,71,55,0,63.0
2015-04-18,2015,4,18,14,0.0,80,59,0,69.5
2015-04-19,2015,4,19,15,0.0,64,48,0,56.0
2015-04-20,2015,4,20,14,1.37,57,46,1,51.5
2015-04-21,2015,4,21,5,0.2,65,52,1,58.5
2015-04-22,2015,4,22,10,0.05,69,48,0,58.5
2015-04-23,2015,4,23,9,0.0,52,41,0,46.5
2015-04-24,2015,4,24,5,0.0,52,39,0,45.5
2015-04-25,2015,4,25,12,0.0,62,38,0,50.0
2015-04-26,2015,4,26,9,0.0,64,46,0,55.0
2015-04-27,2015,4,27,12,0.0,62,49,0,55.5
2015-04-28,2015,4,28,6,0.0,71,50,0,60.5
2015-04-29,2015,4,29,12,0.0,78,50,0,64.0
2015-04-30,2015,4,30,6,0.0,67,48,0,57.5
2015-05-01,2015,5,1,12,0.0,63,49,0,56.0
2015-05-02,2015,5,2,14,0.0,74,48,0,61.0
2015-05-03,2015,5,3,16,0.0,80,51,0,65.5
2015-05-04,2015,5,4,14,0.0,85,57,0,71.0
2015-05-05,2015,5,5,18,0.0,85,66,0,75.5
2015-05-06,2015,5,6,6,0.0,73,59,0,66.0
2015-05-07,2015,5,7,12,0.0,80,56,0,68.0
2015-05-08,2015,5,8,12,0.0,82,56,1,69.0
2015-05-09,2015,5,9,11,0.0,70,57,1,63.5
2015-05-10,2015,5,10,9,0.0,83,61,1,72.0
2015-05-11,2015,5,11,10,0.0,84,70,0,77.0
2015-05-12,2015,5,12,10,0.0,86,64,1,75.0
2015-05-13,2015,5,13,6,0.0,70,53,0,61.5
2015-05-14,2015,5,14,8,0.0,73,50,0,61.5
2015-05-15,2015,5,15,8,0.0,75,55,0,65.0
2015-05-16,2015,5,16,7,0.3,75,57,1,66.0
2015-05-17,2015,5,17,11,0.02,83,64,1,73.5
2015-05-18,2015,5,18,6,0.0,75,60,1,67.5
2015-05-19,2015,5,19,12,0.0,80,59,1,69.5
2015-05-20,2015,5,20,13,0.0,67,54,0,60.5
2015-05-21,2015,5,21,7,0.0,62,52,0,57.0
2015-05-22,2015,5,22,4,0.0,74,55,0,64.5
2015-05-23,2015,5,23,8,0.0,70,49,0,59.5
2015-05-24,2015,5,24,20,0.0,81,56,0,68.5
2015-05-25,2015,5,25,15,0.0,85,64,0,74.5
2015-05-26,2015,5,26,8,0.0,88,67,0,77.5
2015-05-27,2015,5,27,10,0.08,85,70,1,77.5
2015-05-28,2015,5,28,13,0.0,85,70,0,77.5
2015-05-29,2015,5,29,14,0.0,85,65,0,75.0
2015-05-30,2015,5,30,19,0.0,85,67,0,76.0
2015-05-31,2015,5,31,8,1.46,87,57,1,72.0
2015-06-01,2015,6,1,5,0.72,58,51,1,54.5
2015-06-02,2015,6,2,10,0.37,55,50,1,52.5
2015-06-03,2015,6,3,5,0.0,70,52,1,61.0
2015-06-04,2015,6,4,17,0.0,65,54,0,59.5
2015-06-05,2015,6,5,11,0.13,70,55,1,62.5
2015-06-06,2015,6,6,24,0.19,76,60,1,68.0
2015-06-07,2015,6,7,13,0.0,74,55,0,64.5
2015-06-08,2015,6,8,10,0.06,79,63,1,71.0
2015-06-09,2015,6,9,18,0.01,83,68,1,75.5
2015-06-10,2015,6,10,13,0.0,82,65,0,73.5
2015-06-11,2015,6,11,7,0.0,89,72,0,80.5
2015-06-12,2015,6,12,16,0.0,88,73,0,80.5
2015-06-13,2015,6,13,6,0.0,86,72,0,79.0
2015-06-14,2015,6,14,14,0.36,88,66,1,77.0
2015-06-15,2015,6,15,6,0.57,83,64,1,73.5
2015-06-16,2015,6,16,10,0.27,79,65,1,72.0
2015-06-17,2015,6,17,10,0.0,82,66,0,74.0
2015-06-18,2015,6,18,8,0.0,71,64,0,67.5
2015-06-19,2015,6,19,13,0.0,87,68,0,77.5
2015-06-20,2015,6,20,8,0.0,75,64,1,69.5
2015-06-21,2015,6,21,13,0.64,88,71,1,79.5
2015-06-22,2015,6,22,14,0.0,87,70,0,78.5
2015-06-23,2015,6,23,9,0.02,90,75,0,82.5
2015-06-24,2015,6,24,12,0.0,84,68,0,76.0
2015-06-25,2015,6,25,12,0.0,83,65,0,74.0
2015-06-26,2015,6,26,10,0.0,81,69,0,75.0
2015-06-27,2015,6,27,13,1.12,71,58,1,64.5
2015-06-28,2015,6,28,10,0.29,73,62,1,67.5
2015-06-29,2015,6,29,7,0.0,76,63,0,69.5
2015-06-30,2015,6,30,13,0.04,82,68,1,75.0
2015-07-01,2015,7,1,13,0.39,82,69,1,75.5
2015-07-02,2015,7,2,14,0.0,80,69,0,74.5
2015-07-03,2015,7,3,18,0.0,82,66,0,74.0
2015-07-04,2015,7,4,16,0.0,75,69,0,72.0
2015-07-05,2015,7,5,8,0.0,83,68,0,75.5
2015-07-06,2015,7,6,11,0.0,83,72,0,77.5
2015-07-07,2015,7,7,12,0.12,88,75,1,81.5
2015-07-08,2015,7,8,10,0.0,88,77,0,82.5
2015-07-09,2015,7,9,9,0.3,79,68,1,73.5
2015-07-10,2015,7,10,12,0.0,84,72,1,78.0
2015-07-11,2015,7,11,13,0.0,88,69,0,78.5
2015-07-12,2015,7,12,13,0.0,89,72,0,80.5
2015-07-13,2015,7,13,15,0.0,88,73,0,80.5
2015-07-14,2015,7,14,14,0.42,82,73,1,77.5
2015-07-15,2015,7,15,8,0.12,81,72,1,76.5
2015-07-16,2015,7,16,8,0.0,80,64,0,72.0
2015-07-17,2015,7,17,13,0.0,81,67,0,74.0
2015-07-18,2015,7,18,14,0.32,85,71,1,78.0
2015-07-19,2015,7,19,13,0.0,93,78,0,85.5
2015-07-20,2015,7,20,12,0.0,94,82,0,88.0
2015-07-21,2015,7,21,15,0.0,89,74,0,81.5
2015-07-22,2015,7,22,16,0.0,85,69,0,77.0
2015-07-23,2015,7,23,4,0.0,86,68,0,77.0
2015-07-24,2015,7,24,9,0.0,87,70,0,78.5
2015-07-25,2015,7,25,10,0.0,88,69,0,78.5
2015-07-26,2015,7,26,5,0.0,90,74,0,82.0
2015-07-27,2015,7,27,14,0.36,86,71,1,78.5
2015-07-28,2015,7,28,10,0.0,95,75,0,85.0
2015-07-29,2015,7,29,7,0.0,96,78,0,87.0
2015-07-30,2015,7,30,10,1.95,87,76,1,81.5
2015-07-31,2015,7,31,9,0.0,89,72,1,80.5
2015-08-01,2015,8,1,10,0.0,89,75,0,82.0
2015-08-02,2015,8,2,18,0.0,89,71,0,80.0
2015-08-03,2015,8,3,8,0.0,90,75,0,82.5
2015-08-04,2015,8,4,11,0.43,89,69,1,79.0
2015-08-05,2015,8,5,12,0.0,87,72,0,79.5
2015-08-06,2015,8,6,14,0.0,83,67,0,75.0
2015-08-07,2015,8,7,12,0.0,84,69,0,76.5
2015-08-08,2015,8,8,14,0.0,82,68,0,75.0
2015-08-09,2015,8,9,10,0.0,85,68,0,76.5
2015-08-10,2015,8,10,11,0.0,84,70,0,77.0
2015-08-11,2015,8,11,18,1.17,81,71,1,76.0
2015-08-12,2015,8,12,9,0.0,85,71,0,78.0
2015-08-13,2015,8,13,6,0.0,83,67,0,75.0
2015-08-14,2015,8,14,9,0.0,88,67,0,77.5
2015-08-15,2015,8,15,15,0.0,92,73,0,82.5
2015-08-16,2015,8,16,12,0.0,93,76,0,84.5
2015-08-17,2015,8,17,13,0.0,95,78,0,86.5
2015-08-18,2015,8,18,14,0.29,90,73,1,81.5
2015-08-19,2015,8,19,9,0.0,87,77,0,82.0
2015-08-20,2015,8,20,6,0.01,86,77,0,81.5
2015-08-21,2015,8,21,9,0.32,87,71,1,79.0
2015-08-22,2015,8,22,11,0.0,86,69,0,77.5
2015-08-23,2015,8,23,13,0.0,85,70,0,77.5
2015-08-24,2015,8,24,7,0.0,87,73,0,80.0
2015-08-25,2015,8,25,11,0.0,90,73,0,81.5
2015-08-26,2015,8,26,10,0.0,85,67,0,76.0
2015-08-27,2015,8,27,10,0.0,82,67,0,74.5
2015-08-28,2015,8,28,9,0.0,82,63,0,72.5
2015-08-29,2015,8,29,11,0.0,87,67,0,77.0
2015-08-30,2015,8,30,15,0.13,90,72,1,81.0
2015-08-31,2015,8,31,11,0.0,91,76,0,83.5
2015-09-01,2015,9,1,13,0.0,90,76,0,83.0
2015-09-02,2015,9,2,6,0.0,91,74,0,82.5
2015-09-03,2015,9,3,14,0.0,93,74,0,83.5
2015-09-04,2015,9,4,10,0.0,85,72,0,78.5
2015-09-05,2015,9,5,13,0.0,83,67,0,75.0
2015-09-06,2015,9,6,9,0.0,87,65,0,76.0
2015-09-07,2015,9,7,10,0.0,92,70,0,81.0
2015-09-08,2015,9,8,15,0.0,97,76,0,86.5
2015-09-09,2015,9,9,10,0.0,90,76,1,83.0
2015-09-10,2015,9,10,10,1.58,79,70,1,74.5
2015-09-11,2015,9,11,17,0.0,81,66,1,73.5
2015-09-12,2015,9,12,11,0.29,79,69,1,74.0
2015-09-13,2015,9,13,9,0.04,80,62,1,71.0
2015-09-14,2015,9,14,10,0.0,77,59,0,68.0
2015-09-15,2015,9,15,6,0.0,84,62,0,73.0
2015-09-16,2015,9,16,8,0.0,88,66,0,77.0
2015-09-17,2015,9,17,12,0.0,89,68,0,78.5
2015-09-18,2015,9,18,11,0.0,87,68,0,77.5
2015-09-19,2015,9,19,9,0.0,83,68,0,75.5
2015-09-20,2015,9,20,8,0.0,79,64,0,71.5
2015-09-21,2015,9,21,5,0.0,73,59,0,66.0
2015-09-22,2015,9,22,5,0.0,71,62,0,66.5
2015-09-23,2015,9,23,8,0.0,80,59,0,69.5
2015-09-24,2015,9,24,3,0.0,82,60,0,71.0
2015-09-25,2015,9,25,7,0.0,76,63,0,69.5
2015-09-26,2015,9,26,7,0.0,72,61,0,66.5
2015-09-27,2015,9,27,10,0.0,71,56,0,63.5
2015-09-28,2015,9,28,14,0.0,78,65,0,71.5
2015-09-29,2015,9,29,7,0.11,83,72,1,77.5
2015-09-30,2015,9,30,8,1.26,79,59,1,69.0
2015-10-01,2015,10,1,5,0.09,64,56,1,60.0
2015-10-02,2015,10,2,3,1.08,57,48,1,52.5
2015-10-03,2015,10,3,14,0.35,55,49,1,52.0
2015-10-04,2015,10,4,4,0.0,63,53,0,58.0
2015-10-05,2015,10,5,7,0.0,67,52,0,59.5
2015-10-06,2015,10,6,9,0.0,73,52,0,62.5
2015-10-07,2015,10,7,8,0.0,73,58,0,65.5
2015-10-08,2015,10,8,14,0.0,72,59,0,65.5
2015-10-09,2015,10,9,9,0.89,78,61,1,69.5
2015-10-10,2015,10,10,9,0.0,65,50,0,57.5
2015-10-11,2015,10,11,4,0.0,69,53,0,61.0
2015-10-12,2015,10,12,9,0.0,77,56,0,66.5
2015-10-13,2015,10,13,10,0.01,72,61,0,66.5
2015-10-14,2015,10,14,6,0.0,69,57,0,63.0
2015-10-15,2015,10,15,7,0.0,64,51,0,57.5
2015-10-16,2015,10,16,4,0.0,64,53,0,58.5
2015-10-17,2015,10,17,7,0.0,56,42,0,49.0
2015-10-18,2015,10,18,9,0.0,50,38,0,44.0
2015-10-19,2015,10,19,11,0.0,53,35,0,44.0
2015-10-20,2015,10,20,11,0.0,70,48,0,59.0
2015-10-21,2015,10,21,11,0.0,76,57,0,66.5
2015-10-22,2015,10,22,6,0.0,75,58,0,66.5
2015-10-23,2015,10,23,11,0.0,65,45,0,55.0
2015-10-24,2015,10,24,9,0.0,57,40,0,48.5
2015-10-25,2015,10,25,3,0.05,68,48,1,58.0
2015-10-26,2015,10,26,11,0.0,58,46,0,52.0
2015-10-27,2015,10,27,11,0.0,59,45,0,52.0
2015-10-28,2015,10,28,5,1.4,69,53,1,61.0
2015-10-29,2015,10,29,6,0.04,73,57,1,65.0
2015-10-30,2015,10,30,8,0.0,61,48,0,54.5
2015-10-31,2015,10,31,8,0.0,56,42,0,49.0
2015-11-01,2015,11,1,11,0.0,65,54,0,59.5
2015-11-02,2015,11,2,11,0.0,63,54,0,58.5
2015-11-03,2015,11,3,5,0.0,72,48,0,60.0
2015-11-04,2015,11,4,14,0.0,70,56,1,63.0
2015-11-05,2015,11,5,13,0.01,71,56,1,63.5
2015-11-06,2015,11,6,19,0.0,74,66,1,70.0
2015-11-07,2015,11,7,15,0.0,72,53,0,62.5
2015-11-08,2015,11,8,3,0.0,56,46,0,51.0
2015-11-09,2015,11,9,3,0.0,59,43,0,51.0
2015-11-10,2015,11,10,7,0.26,57,51,1,54.0
2015-11-11,2015,11,11,11,0.43,58,49,1,53.5
2015-11-12,2015,11,12,16,0.01,61,51,1,56.0
2015-11-13,2015,11,13,12,0.0,58,46,0,52.0
2015-11-14,2015,11,14,7,0.0,49,42,0,45.5
2015-11-15,2015,11,15,11,0.0,58,39,0,48.5
2015-11-16,2015,11,16,7,0.0,67,51,0,59.0
2015-11-17,2015,11,17,6,0.0,52,40,0,46.0
2015-11-18,2015,11,18,6,0.0,58,46,0,52.0
2015-11-19,2015,11,19,4,1.25,64,57,1,60.5
2015-11-20,2015,11,20,8,0.0,64,46,0,55.0
2015-11-21,2015,11,21,8,0.0,53,42,0,47.5
2015-11-22,2015,11,22,10,0.03,55,42,1,48.5
2015-11-23,2015,11,23,10,0.0,44,33,0,38.5
2015-11-24,2015,11,24,6,0.0,46,32,0,39.0
2015-11-25,2015,11,25,7,0.0,50,36,0,43.0
2015-11-26,2015,11,26,11,0.0,60,41,0,50.5
2015-11-27,2015,11,27,8,0.0,64,51,1,57.5
2015-11-28,2015,11,28,9,0.02,64,45,0,54.5
2015-11-29,2015,11,29,8,0.0,49,38,0,43.5
2015-11-30,2015,11,30,10,0.0,47,33,1,40.0
2015-12-01,2015,12,1,9,0.33,51,44,0,47.5
2015-12-02,2015,12,2,6,0.14,57,46,0,51.5
2015-12-03,2015,12,3,6,0.0,55,44,0,49.5
2015-12-04,2015,12,4,10,0.0,51,42,0,46.5
2015-12-05,2015,12,5,8,0.0,51,40,0,45.5
2015-12-06,2015,12,6,17,0.0,53,39,0,46.0
2015-12-07,2015,12,7,11,0.0,54,42,0,48.0
2015-12-08,2015,12,8,8,0.0,49,41,0,45.0
2015-12-09,2015,12,9,10,0.0,55,40,0,47.5
2015-12-10,2015,12,10,7,0.0,60,51,0,55.5
2015-12-11,2015,12,11,10,0.0,61,50,0,55.5
2015-12-12,2015,12,12,12,0.0,66,55,0,60.5
2015-12-13,2015,12,13,7,0.0,67,55,0,61.0
2015-12-14,2015,12,14,9,0.33,67,53,1,60.0
2015-12-15,2015,12,15,12,0.09,68,53,0,60.5
2015-12-16,2015,12,16,5,0.04,53,46,1,49.5
2015-12-17,2015,12,17,5,1.21,59,50,1,54.5
2015-12-18,2015,12,18,5,0.0,57,38,0,47.5
2015-12-19,2015,12,19,11,0.0,40,35,0,37.5
2015-12-20,2015,12,20,7,0.0,43,34,0,38.5
2015-12-21,2015,12,21,7,0.0,56,39,0,47.5
2015-12-22,2015,12,22,7,0.19,62,53,1,57.5
2015-12-23,2015,12,23,6,1.55,64,52,1,58.0
2015-12-24,2015,12,24,10,0.01,72,63,1,67.5
2015-12-25,2015,12,25,14,0.01,66,57,1,61.5
2015-12-26,2015,12,26,9,0.0,59,47,1,53.0
2015-12-27,2015,12,27,7,0.12,61,46,1,53.5
2015-12-28,2015,12,28,5,0.03,46,34,0,40.0
2015-12-29,2015,12,29,8,0.45,46,34,1,40.0
2015-12-30,2015,12,30,6,0.19,48,38,1,43.0
2015-12-31,2015,12,31,13,0.03,48,42,1,45.0
2016-01-01,2016,1,1,12,0.0,42,34,0,38.0
2016-01-02,2016,1,2,7,0.0,40,32,0,36.0
2016-01-03,2016,1,3,12,0.0,45,35,0,40.0
2016-01-04,2016,1,4,8,0.0,36,14,0,25.0
2016-01-05,2016,1,5,4,0.0,29,11,0,20.0
2016-01-06,2016,1,6,4,0.0,41,25,0,33.0
2016-01-07,2016,1,7,6,0.0,46,31,0,38.5
2016-01-08,2016,1,8,8,0.0,46,31,0,38.5
2016-01-09,2016,1,9,5,0.0,47,40,1,43.5
2016-01-10,2016,1,10,7,1.8,59,40,1,49.5
2016-01-11,2016,1,11,7,0.0,40,26,0,33.0
2016-01-12,2016,1,12,7,0.0,44,25,0,34.5
2016-01-13,2016,1,13,8,0.0,30,22,0,26.0
2016-01-14,2016,1,14,9,0.0,38,22,0,30.0
2016-01-15,2016,1,15,7,0.0,51,34,0,42.5
2016-01-16,2016,1,16,11,0.24,52,42,1,47.0
2016-01-17,2016,1,17,9,0.05,42,30,1,36.0
2016-01-18,2016,1,18,6,0.0,31,18,0,24.5
2016-01-19,2016,1,19,6,0.0,28,16,0,22.0
2016-01-20,2016,1,20,6,0.0,37,27,0,32.0
2016-01-21,2016,1,21,11,0.0,36,26,0,31.0
2016-01-22,2016,1,22,11,0.01,30,21,0,25.5
2016-01-23,2016,1,23,11,2.31,27,24,1,25.5
2016-01-24,2016,1,24,12,0.0,35,20,0,27.5
2016-01-25,2016,1,25,4,0.0,39,28,0,33.5
2016-01-26,2016,1,26,4,0.0,48,38,0,43.0
2016-01-27,2016,1,27,5,0.0,47,34,0,40.5
2016-01-28,2016,1,28,4,0.0,42,32,0,37.0
2016-01-29,2016,1,29,6,0.0,41,30,0,35.5
2016-01-30,2016,1,30,7,0.0,39,28,0,33.5
2016-01-31,2016,1,31,10,0.0,56,36,0,46.0
2016-02-01,2016,2,1,9,0.01,59,44,0,51.5
2016-02-02,2016,2,2,8,0.0,50,38,0,44.0
2016-02-03,2016,2,3,4,0.73,59,42,1,50.5
2016-02-04,2016,2,4,9,0.0,59,44,1,51.5
2016-02-05,2016,2,5,3,0.53,44,31,1,37.5
2016-02-06,2016,2,6,7,0.0,40,30,0,35.0
2016-02-07,2016,2,7,7,0.0,47,33,0,40.0
2016-02-08,2016,2,8,6,0.05,39,28,1,33.5
2016-02-09,2016,2,9,7,0.0,36,27,0,31.5
2016-02-10,2016,2,10,5,0.01,39,31,1,35.0
2016-02-11,2016,2,11,7,0.0,31,18,0,24.5
2016-02-12,2016,2,12,6,0.0,27,15,0,21.0
2016-02-13,2016,2,13,9,0.0,22,6,0,14.0
2016-02-14,2016,2,14,9,0.0,15,-1,0,7.0
2016-02-15,2016,2,15,2,0.44,35,13,1,24.0
2016-02-16,2016,2,16,9,1.01,54,35,1,44.5
2016-02-17,2016,2,17,5,0.0,39,35,0,37.0
2016-02-18,2016,2,18,13,0.0,36,27,0,31.5
2016-02-19,2016,2,19,8,0.0,39,24,0,31.5
2016-02-20,2016,2,20,7,0.0,61,39,0,50.0
2016-02-21,2016,2,21,12,0.03,55,44,0,49.5
2016-02-22,2016,2,22,7,0.0,52,38,0,45.0
2016-02-23,2016,2,23,3,0.3,40,35,1,37.5
2016-02-24,2016,2,24,5,1.22,60,36,1,48.0
2016-02-25,2016,2,25,10,0.02,61,37,1,49.0
2016-02-26,2016,2,26,5,0.0,39,27,0,33.0
2016-02-27,2016,2,27,5,0.0,41,26,0,33.5
2016-02-28,2016,2,28,6,0.0,60,38,0,49.0
2016-02-29,2016,2,29,5,0.05,61,47,0,54.0
2016-03-01,2016,3,1,7,0.0,52,39,0,45.5
2016-03-02,2016,3,2,7,0.14,55,29,1,42.0
2016-03-03,2016,3,3,10,0.0,36,26,0,31.0
2016-03-04,2016,3,4,6,0.11,39,30,1,34.5
2016-03-05,2016,3,5,6,0.0,41,28,0,34.5
2016-03-06,2016,3,6,9,0.0,44,32,0,38.0
2016-03-07,2016,3,7,3,0.0,60,36,0,48.0
2016-03-08,2016,3,8,8,0.0,67,47,0,57.0
2016-03-09,2016,3,9,5,0.0,77,44,0,60.5
2016-03-10,2016,3,10,8,0.0,79,63,0,71.0
2016-03-11,2016,3,11,8,0.06,68,48,1,58.0
2016-03-12,2016,3,12,13,0.0,59,40,0,49.5
2016-03-13,2016,3,13,10,0.0,62,50,0,56.0
2016-03-14,2016,3,14,1,0.29,51,40,1,45.5
2016-03-15,2016,3,15,9,0.0,57,44,1,50.5
2016-03-16,2016,3,16,5,0.02,65,48,0,56.5
2016-03-17,2016,3,17,7,0.0,63,45,0,54.0
2016-03-18,2016,3,18,6,0.0,57,42,0,49.5
2016-03-19,2016,3,19,11,0.0,46,36,0,41.0
2016-03-20,2016,3,20,6,0.07,43,32,1,37.5
2016-03-21,2016,3,21,4,0.06,50,32,1,41.0
2016-03-22,2016,3,22,10,0.0,56,35,0,45.5
2016-03-23,2016,3,23,9,0.0,71,48,0,59.5
2016-03-24,2016,3,24,8,0.0,55,44,1,49.5
2016-03-25,2016,3,25,7,0.04,72,44,1,58.0
2016-03-26,2016,3,26,13,0.0,55,38,0,46.5
2016-03-27,2016,3,27,2,0.0,55,43,0,49.0
2016-03-28,2016,3,28,5,0.38,62,42,1,52.0
2016-03-29,2016,3,29,6,0.0,53,40,0,46.5
2016-03-30,2016,3,30,7,0.0,56,37,0,46.5
2016-03-31,2016,3,31,3,0.0,73,49,0,61.0
2016-04-01,2016,4,1,7,0.02,79,61,0,70.0
2016-04-02,2016,4,2,13,0.16,61,49,0,55.0
2016-04-03,2016,4,3,9,0.09,50,34,0,42.0
2016-04-04,2016,4,4,4,0.47,45,29,1,37.0
2016-04-05,2016,4,5,11,0.0,43,26,0,34.5
2016-04-06,2016,4,6,6,0.0,48,30,0,39.0
